simulated_period,simulated_disaster,year,month,day,date,region,pa_projects,ia_registrations
9,503,2021,7,18,2021-07-18,10,1031,0
9,504,2021,7,28,2021-07-28,4,2349,0
9,505,2021,8,3,2021-08-03,8,71,0
9,506,2021,8,16,2021-08-16,3,1770,79723
9,507,2021,8,17,2021-08-17,7,624,61695
9,508,2021,8,19,2021-08-19,1,241,0
9,509,2021,8,19,2021-08-19,3,706,0
9,510,2021,8,27,2021-08-27,2,29,0
9,511,2021,9,3,2021-09-03,4,97,0
9,512,2021,9,9,2021-09-09,1,257,0
9,513,2021,9,9,2021-09-09,4,44,0
9,514,2021,9,14,2021-09-14,9,49,0
9,515,2021,9,16,2021-09-16,6,560,405758
9,516,2021,9,22,2021-09-22,6,221,0
9,517,2021,9,23,2021-09-23,2,3380,17450
9,518,2021,10,8,2021-10-08,10,132,0
9,519,2021,10,18,2021-10-18,8,237,0
9,520,2021,10,18,2021-10-18,8,264,0
9,521,2021,10,26,2021-10-26,1,35,0
9,522,2021,11,10,2021-11-10,8,23,0
9,523,2021,11,11,2021-11-11,4,15,0
9,524,2021,11,19,2021-11-19,6,567,164
9,525,2021,12,2,2021-12-02,10,12,0
9,526,2021,12,12,2021-12-12,10,69,0
9,527,2022,1,1,2022-01-01,2,82,0
9,528,2022,1,5,2022-01-05,4,33,0
9,529,2022,1,7,2022-01-07,10,105,0
9,530,2022,1,8,2022-01-08,2,1145,0
9,531,2022,2,4,2022-02-04,9,172,0
9,532,2022,2,5,2022-02-05,10,28,0
9,533,2022,2,21,2022-02-21,8,205,0
10,534,2021,2,24,2021-02-24,4,341,0
10,535,2021,2,25,2021-02-25,5,97,0
10,536,2021,3,1,2021-03-01,1,969,1423
10,537,2021,3,9,2021-03-09,4,139,0
10,538,2021,3,12,2021-03-12,4,774,0
10,539,2021,3,18,2021-03-18,5,107,0
10,540,2021,3,20,2021-03-20,3,77,0
10,541,2021,3,21,2021-03-21,5,430,0
10,542,2021,3,25,2021-03-25,3,460,0
10,543,2021,3,27,2021-03-27,4,94,0
10,544,2021,3,31,2021-03-31,1,111,0
10,545,2021,3,31,2021-03-31,9,279,0
10,546,2021,4,1,2021-04-01,2,112,0
10,547,2021,4,1,2021-04-01,2,1618,3033
10,548,2021,4,4,2021-04-04,2,572,0
10,549,2021,4,5,2021-04-05,2,907,3808
10,550,2021,4,7,2021-04-07,8,102,0
10,551,2021,4,9,2021-04-09,2,1812,1015
10,552,2021,4,10,2021-04-10,6,116,0
10,553,2021,4,13,2021-04-13,4,72,0
10,554,2021,4,21,2021-04-21,6,249,41670
10,555,2021,4,24,2021-04-24,4,1463,5812
10,556,2021,5,1,2021-05-01,3,779,13280
10,557,2021,5,8,2021-05-08,2,560,0
10,558,2021,5,17,2021-05-17,3,952,0
10,559,2021,5,22,2021-05-22,3,324,0
10,560,2021,6,15,2021-06-15,10,162,644
10,561,2021,6,16,2021-06-16,3,39,0
10,562,2021,6,17,2021-06-17,10,128,1348
10,563,2021,6,29,2021-06-29,8,67,0
10,564,2021,7,2,2021-07-02,8,80,0
10,565,2021,7,8,2021-07-08,4,1400,19457
10,566,2021,7,10,2021-07-10,9,1806,4928
