project_id,sent_to_crc_date,project_size,source,status
155085,2022-06-20,Small,pre_crc,pre_crc
154627,2021-01-27,Small,pre_crc,pre_crc
154729,2021-04-24,Small,pre_crc,pre_crc
154847,2021-03-24,Small,pre_crc,pre_crc
154882,2022-01-07,Small,pre_crc,pre_crc
154885,2022-09-05,Small,pre_crc,pre_crc
154769,2021-05-31,Small,pre_crc,pre_crc
155782,2021-03-27,Small,pre_crc,pre_crc
155779,2021-02-26,Large,pre_crc,pre_crc
155721,2021-01-24,Small,pre_crc,pre_crc
155724,2021-04-03,Small,pre_crc,pre_crc
155706,2021-06-08,Small,pre_crc,pre_crc
155658,2021-01-20,Small,pre_crc,pre_crc
155563,2021-07-22,Large,pre_crc,pre_crc
155511,2021-10-05,Small,pre_crc,pre_crc
155512,2021-04-12,Small,pre_crc,pre_crc
155504,2021-03-13,Large,pre_crc,pre_crc
155348,2021-06-23,Large,pre_crc,pre_crc
155221,2021-12-22,Small,pre_crc,pre_crc
